dgeqrf dgorgqr LAPACK | m =   32, n =   32, k =   32, nb =    3, lda =   32, ldq =   32,              | time = 0.000105   GFlop/sec = 0.415537| repres  = 4.9e-16    ortho = 2.9e-15 
dgeqrf dgorgqr LAPACK | m =   33, n =   33, k =   33, nb =    3, lda =   33, ldq =   33,              | time = 0.000013   GFlop/sec = 3.654078| repres  = 3.7e-16    ortho = 2.3e-15 
dgeqrf dgorgqr LAPACK | m =   34, n =   34, k =   34, nb =    3, lda =   34, ldq =   34,              | time = 0.000011   GFlop/sec = 4.676679| repres  = 4.5e-16    ortho = 2.7e-15 
dgeqrf dgorgqr LAPACK | m =   35, n =   35, k =   35, nb =    3, lda =   35, ldq =   35,              | time = 0.000012   GFlop/sec = 4.795488| repres  = 4.5e-16    ortho = 2.7e-15 
dgeqrf dgorgqr LAPACK | m =   36, n =   36, k =   36, nb =    3, lda =   36, ldq =   36,              | time = 0.000013   GFlop/sec = 4.831838| repres  = 4.5e-16    ortho = 2.4e-15 
dgeqrf dgorgqr LAPACK | m =   37, n =   37, k =   37, nb =    3, lda =   37, ldq =   37,              | time = 0.000014   GFlop/sec = 4.884002| repres  = 4.7e-16    ortho = 2.5e-15 
dgeqrf dgorgqr LAPACK | m =   38, n =   38, k =   38, nb =    3, lda =   38, ldq =   38,              | time = 0.000013   GFlop/sec = 5.579390| repres  = 4.7e-16    ortho = 2.9e-15 
dgeqrf dgorgqr LAPACK | m =   39, n =   39, k =   39, nb =    3, lda =   39, ldq =   39,              | time = 0.000014   GFlop/sec = 5.622642| repres  = 5.5e-16    ortho = 3.4e-15 
dgeqrf dgorgqr LAPACK | m =   40, n =   40, k =   40, nb =    3, lda =   40, ldq =   40,              | time = 0.000014   GFlop/sec = 6.066338| repres  = 5.2e-16    ortho = 3.4e-15 
dgeqrf dgorgqr LAPACK | m =   41, n =   41, k =   41, nb =    3, lda =   41, ldq =   41,              | time = 0.000016   GFlop/sec = 5.752749| repres  = 4.8e-16    ortho = 3.2e-15 
dgeqrf dgorgqr LAPACK | m =   42, n =   42, k =   42, nb =    3, lda =   42, ldq =   42,              | time = 0.000016   GFlop/sec = 6.184032| repres  = 5.2e-16    ortho = 3.3e-15 
dgeqrf dgorgqr LAPACK | m =   43, n =   43, k =   43, nb =    3, lda =   43, ldq =   43,              | time = 0.000017   GFlop/sec = 6.262470| repres  = 5.2e-16    ortho = 3.6e-15 
dgeqrf dgorgqr LAPACK | m =   44, n =   44, k =   44, nb =    3, lda =   44, ldq =   44,              | time = 0.000017   GFlop/sec = 6.616437| repres  = 5.1e-16    ortho = 3.0e-15 
dgeqrf dgorgqr LAPACK | m =   45, n =   45, k =   45, nb =    3, lda =   45, ldq =   45,              | time = 0.000018   GFlop/sec = 6.705368| repres  = 4.8e-16    ortho = 3.4e-15 
dgeqrf dgorgqr LAPACK | m =   46, n =   46, k =   46, nb =    3, lda =   46, ldq =   46,              | time = 0.000019   GFlop/sec = 6.804280| repres  = 5.0e-16    ortho = 3.3e-15 
dgeqrf dgorgqr LAPACK | m =   47, n =   47, k =   47, nb =    3, lda =   47, ldq =   47,              | time = 0.000020   GFlop/sec = 6.912146| repres  = 5.1e-16    ortho = 3.2e-15 
dgeqrf dgorgqr LAPACK | m =   48, n =   48, k =   48, nb =    3, lda =   48, ldq =   48,              | time = 0.000021   GFlop/sec = 7.028128| repres  = 5.5e-16    ortho = 3.8e-15 
dgeqrf dgorgqr LAPACK | m =   49, n =   49, k =   49, nb =    3, lda =   49, ldq =   49,              | time = 0.000021   GFlop/sec = 7.476601| repres  = 5.2e-16    ortho = 3.5e-15 
dgeqrf dgorgqr LAPACK | m =   50, n =   50, k =   50, nb =    3, lda =   50, ldq =   50,              | time = 0.000021   GFlop/sec = 7.854502| repres  = 5.2e-16    ortho = 3.5e-15 
